genre,text,clique_id,lemma,pos,affix,stem
pseudotext,pseudotext_01,1,charle,NNP,s,charl
pseudotext,pseudotext_01,1,stewart,NNP,NA,stewart
pseudotext,pseudotext_01,1,parnell,NNP,NA,parnel
pseudotext,pseudotext_01,1,irish,JJ,NA,irish
pseudotext,pseudotext_01,1,member,NN,NA,member
pseudotext,pseudotext_01,1,parliament,NN,NA,parliament
pseudotext,pseudotext_01,1,take,VBD,ed,take
pseudotext,pseudotext_01,1,cause,NN,NA,caus
pseudotext,pseudotext_01,1,land,NNP,NA,land
pseudotext,pseudotext_01,1,act,NNP,s,act
pseudotext,pseudotext_01,1,enable,VBD,ed,enabl
pseudotext,pseudotext_01,1,hard-pressed,JJ,NA,hard-press
pseudotext,pseudotext_01,1,tenant,NNS,s,tenant
pseudotext,pseudotext_01,1,buy,VB,NA,bui
pseudotext,pseudotext_01,1,land,NN,NA,land
pseudotext,pseudotext_01,1,be,VBD,ed,be
pseudotext,pseudotext_01,1,pass,VBN,ed,pass
pseudotext,pseudotext_01,2,english,NNP,NA,english
pseudotext,pseudotext_01,2,king,NN,NA,king
pseudotext,pseudotext_01,2,order,VBD,ed,order
pseudotext,pseudotext_01,2,general,JJ,NA,gener
pseudotext,pseudotext_01,2,burn,VB,NA,burn
pseudotext,pseudotext_01,2,edinburgh,NNP,NA,edinburgh
pseudotext,pseudotext_01,2,town,NN,NA,town
pseudotext,pseudotext_01,2,remain,VB,NA,remain
pseudotext,pseudotext_01,2,forever,RB,NA,forev
pseudotext,pseudotext_01,2,perpetual,JJ,NA,perpetu
pseudotext,pseudotext_01,2,memory,NN,NA,memori
pseudotext,pseudotext_01,2,vengeance,NN,NA,vengeanc
pseudotext,pseudotext_01,2,god,NNP,NA,god
pseudotext,pseudotext_01,2,lighten,VBD,ed,lighten
pseudotext,pseudotext_01,2,scot,NNP,s,scot
pseudotext,pseudotext_01,3,new,JJ,NA,new
pseudotext,pseudotext_01,3,jewish,JJ,NA,jewish
pseudotext,pseudotext_01,3,state,NN,NA,state
pseudotext,pseudotext_01,3,israel,NNP,NA,israel
pseudotext,pseudotext_01,3,found,VBD,ed,found
pseudotext,pseudotext_01,3,land,NN,NA,land
pseudotext,pseudotext_01,3,so,RB,NA,so
pseudotext,pseudotext_01,3,recently,RB,NA,recent
pseudotext,pseudotext_01,3,islamic,NNP,NA,islam
pseudotext,pseudotext_01,3,palestine,NNP,NA,palestin
pseudotext,pseudotext_01,3,send,VBD,ed,send
pseudotext,pseudotext_01,3,shock,NN,NA,shock
pseudotext,pseudotext_01,3,wave,NNS,s,wave
pseudotext,pseudotext_01,3,arab,JJ,NA,arab
pseudotext,pseudotext_01,3,world,NN,NA,world
pseudotext,pseudotext_01,3,egypt,NNP,NA,egypt
pseudotext,pseudotext_01,3,find,VBD,ed,find
pseudotext,pseudotext_01,3,center,NN,NA,center
pseudotext,pseudotext_01,3,bloody,JJ,NA,bloodi
pseudotext,pseudotext_01,3,defeat,NN,NA,defeat
pseudotext,pseudotext_01,3,1948,CD,NA,1948
pseudotext,pseudotext_01,3,stand,VBD,ed,stand
pseudotext,pseudotext_01,3,up,RB,NA,up
pseudotext,pseudotext_01,3,new,JJ,NA,new
pseudotext,pseudotext_01,3,neighbor,NN,NA,neighbor
pseudotext,pseudotext_01,4,con­se­quently,NNP,NA,con­se­qu
